Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
nov-25;24,0 €/m2;-1,30%;3,90%;3,40%
oct-25;24,3 €/m2;1,50%;4,10%;5,10%
sep-25;24,0 €/m2;3,60%;0,30%;6,90%
ago-25;23,1 €/m2;-1,10%;-3,40%;6,80%
jul-25;23,4 €/m2;-2,20%;-1,70%;8,30%
jun-25;23,9 €/m2;-0,20%;1,70%;8,20%
may-25;23,9 €/m2;0,70%;1,20%;10,60%
abr-25;23,8 €/m2;1,20%;0,70%;12,50%
mar-25;23,5 €/m2;-0,70%;0,40%;13,20%
feb-25;23,7 €/m2;0,20%;1,90%;13,70%
ene-25;23,6 €/m2;0,90%;2,00%;13,50%
dic-24;23,4 €/m2;0,70%;4,40%;13,90%
nov-24;23,2 €/m2;0,30%;7,30%;14,40%
oct-24;23,1 €/m2;3,30%;7,20%;13,50%
sep-24;22,4 €/m2;3,50%;1,50%;12,10%
ago-24;21,6 €/m2;0,20%;0,00%;11,80%
jul-24;21,6 €/m2;-2,20%;2,20%;14,30%
jun-24;22,1 €/m2;2,00%;6,40%;17,80%
may-24;21,6 €/m2;2,40%;4,00%;16,10%
abr-24;21,1 €/m2;1,80%;1,60%;13,80%
mar-24;20,7 €/m2;-0,30%;1,10%;12,70%
feb-24;20,8 €/m2;0,00%;2,50%;12,20%
ene-24;20,8 €/m2;1,30%;2,00%;12,00%
dic-23;20,5 €/m2;1,20%;2,70%;12,40%
nov-23;20,3 €/m2;-0,50%;4,80%;14,40%
oct-23;20,4 €/m2;2,00%;8,00%;17,40%
sep-23;20,0 €/m2;3,30%;6,60%;18,10%
ago-23;19,4 €/m2;2,50%;3,90%;16,10%
jul-23;18,9 €/m2;0,80%;1,70%;14,70%
jun-23;18,7 €/m2;0,60%;1,90%;15,40%
may-23;18,6 €/m2;0,40%;0,50%;16,60%
abr-23;18,6 €/m2;0,90%;0,00%;18,70%
mar-23;18,4 €/m2;-0,80%;0,70%;19,10%
feb-23;18,6 €/m2;-0,10%;4,60%;20,30%
ene-23;18,6 €/m2;1,60%;6,90%;23,60%
dic-22;18,3 €/m2;3,00%;7,90%;23,90%
nov-22;17,7 €/m2;2,10%;6,40%;22,10%
oct-22;17,4 €/m2;2,60%;5,40%;19,90%
sep-22;16,9 €/m2;1,60%;4,20%;17,80%
ago-22;16,7 €/m2;1,20%;4,30%;17,20%
jul-22;16,5 €/m2;1,40%;5,40%;15,90%
jun-22;16,2 €/m2;1,70%;5,10%;14,70%
may-22;16,0 €/m2;2,20%;3,60%;12,80%
abr-22;15,6 €/m2;1,20%;4,10%;10,30%
mar-22;15,5 €/m2;0,20%;4,80%;8,70%
feb-22;15,4 €/m2;2,70%;6,20%;8,00%
ene-22;15,0 €/m2;1,80%;3,70%;4,50%
dic-21;14,7 €/m2;1,50%;2,60%;1,00%
nov-21;14,5 €/m2;0,30%;2,10%;-3,10%
oct-21;14,5 €/m2;0,80%;1,90%;-5,30%
sep-21;14,4 €/m2;1,00%;1,40%;-7,40%
ago-21;14,2 €/m2;0,10%;0,40%;-9,40%
jul-21;14,2 €/m2;0,30%;0,20%;-11,10%
jun-21;14,2 €/m2;0,00%;-0,40%;-13,70%
may-21;14,2 €/m2;-0,10%;-0,80%;-16,40%
abr-21;14,2 €/m2;-0,30%;-1,30%;-14,80%
mar-21;14,2 €/m2;-0,40%;-2,60%;-13,70%
feb-21;14,3 €/m2;-0,60%;-4,70%;-13,00%
ene-21;14,4 €/m2;-1,60%;-6,00%;-11,20%
dic-20;14,6 €/m2;-2,60%;-5,90%;-8,70%
nov-20;15,0 €/m2;-1,90%;-4,60%;-7,20%
oct-20;15,3 €/m2;-1,50%;-4,40%;-6,50%
sep-20;15,5 €/m2;-1,20%;-5,40%;-4,70%
ago-20;15,7 €/m2;-1,80%;-7,30%;-2,70%
jul-20;16,0 €/m2;-2,60%;-3,90%;-1,40%
jun-20;16,4 €/m2;-3,10%;-0,40%;0,70%
may-20;16,9 €/m2;1,80%;3,20%;4,30%
abr-20;16,6 €/m2;1,00%;2,90%;2,50%
mar-20;16,5 €/m2;0,40%;3,10%;2,20%
feb-20;16,4 €/m2;1,50%;1,60%;1,70%
ene-20;16,2 €/m2;1,20%;-1,10%;0,10%
dic-19;16,0 €/m2;-1,10%;-1,80%;-0,60%
nov-19;16,2 €/m2;-1,20%;0,10%;-0,50%
oct-19;16,4 €/m2;0,40%;0,90%;0,70%
sep-19;16,3 €/m2;0,90%;0,00%;1,30%
ago-19;16,1 €/m2;-0,40%;-0,60%;0,90%
jul-19;16,2 €/m2;-0,50%;-0,10%;0,90%
jun-19;16,3 €/m2;0,30%;1,00%;0,60%
may-19;16,2 €/m2;0,00%;0,50%;-0,50%
abr-19;16,2 €/m2;0,70%;0,50%;-1,00%
mar-19;16,1 €/m2;-0,20%;0,20%;-1,40%
feb-19;16,2 €/m2;0,00%;-0,50%;-0,70%
ene-19;16,2 €/m2;0,40%;-0,50%;-0,20%
dic-18;16,1 €/m2;-0,90%;0,10%;-1,20%
nov-18;16,2 €/m2;0,00%;1,50%;-0,50%
oct-18;16,2 €/m2;0,90%;1,10%;-0,90%
sep-18;16,1 €/m2;0,60%;-0,60%;-0,40%
ago-18;16,0 €/m2;-0,40%;-2,00%;0,60%
jul-18;16,1 €/m2;-0,80%;-2,10%;0,50%
jun-18;16,2 €/m2;-0,80%;-1,00%;1,20%
may-18;16,3 €/m2;-0,50%;0,30%;2,10%
abr-18;16,4 €/m2;0,30%;1,30%;1,90%
mar-18;16,4 €/m2;0,50%;0,40%;1,60%
feb-18;16,3 €/m2;0,50%;-0,20%;1,10%
ene-18;16,2 €/m2;-0,60%;-1,20%;1,40%
dic-17;16,3 €/m2;-0,10%;0,90%;3,10%
nov-17;16,3 €/m2;-0,40%;2,60%;5,40%
oct-17;16,4 €/m2;1,50%;2,50%;9,30%
sep-17;16,1 €/m2;1,60%;1,00%;11,80%
ago-17;15,9 €/m2;-0,60%;-0,60%;12,70%
jul-17;16,0 €/m2;0,00%;-0,70%;14,30%
jun-17;16,0 €/m2;0,00%;-0,60%;15,20%
may-17;16,0 €/m2;-0,70%;-0,70%;16,10%
abr-17;16,1 €/m2;0,00%;0,80%;17,20%
mar-17;16,1 €/m2;0,00%;1,80%;17,40%
feb-17;16,1 €/m2;0,80%;4,00%;17,30%
ene-17;16,0 €/m2;1,00%;6,50%;17,80%
dic-16;15,8 €/m2;2,10%;9,40%;18,60%
nov-16;15,5 €/m2;3,30%;9,80%;18,80%
oct-16;15,0 €/m2;3,80%;7,20%;17,30%
sep-16;14,4 €/m2;2,40%;4,10%;15,70%
ago-16;14,1 €/m2;0,90%;2,40%;14,90%
jul-16;14,0 €/m2;0,80%;1,80%;14,40%
jun-16;13,9 €/m2;0,80%;1,20%;14,20%
may-16;13,8 €/m2;0,30%;0,30%;13,40%
abr-16;13,7 €/m2;0,10%;1,30%;13,30%
mar-16;13,7 €/m2;-0,10%;2,90%;14,30%
feb-16;13,7 €/m2;1,20%;5,30%;14,50%
ene-16;13,6 €/m2;1,70%;6,10%;13,60%
dic-15;13,3 €/m2;2,20%;6,70%;13,20%
nov-15;13,0 €/m2;2,00%;6,20%;12,60%
oct-15;12,8 €/m2;2,30%;4,60%;11,10%
sep-15;12,5 €/m2;1,80%;2,80%;10,70%
ago-15;12,3 €/m2;0,50%;1,10%;10,30%
jul-15;12,2 €/m2;0,60%;0,80%;10,00%
jun-15;12,2 €/m2;0,10%;1,30%;9,90%
may-15;12,1 €/m2;0,20%;1,30%;10,40%
abr-15;12,1 €/m2;1,00%;1,50%;10,70%
mar-15;12,0 €/m2;0,00%;1,90%;9,40%
feb-15;12,0 €/m2;0,50%;3,60%;10,00%
ene-15;11,9 €/m2;1,40%;3,80%;10,30%
dic-14;11,8 €/m2;1,70%;4,40%;8,40%
nov-14;11,6 €/m2;0,70%;4,00%;6,20%
oct-14;11,5 €/m2;1,90%;3,50%;5,20%
sep-14;11,3 €/m2;1,40%;2,10%;3,50%
